Index,X,Y,Z,Fx,Fy,Fz,Lx,Ly,Lz,Nx,Ny,Nz
1.0,0.0,0.0,0.0,0.992854,0.001765,0.119325,0.119326,3.1e-05,-0.992855,-0.001756,0.999998,-0.00018
2.0,0.7163911265300704,0.009188359198893992,0.08558724972652834,0.992707,0.025412,0.117847,0.117885,1.2e-05,-0.993027,-0.025236,0.999677,-0.002984
3.0,1.4323644691763526,0.03852847713084212,0.1700163938684623,0.991585,0.057167,0.11615,0.116343,-6.2e-05,-0.993209,-0.056772,0.998365,-0.006713
4.0,2.147006531571185,0.09291686750117616,0.25318641387013635,0.988927,0.09457,0.114368,0.114904,-0.00022,-0.993377,-0.093918,0.995518,-0.011084
5.0,2.858980260974223,0.17636973945871373,0.33502659674258456,0.984084,0.137602,0.112447,0.11359,-0.000455,-0.993528,-0.13666,0.990487,-0.016078
6.0,3.566584937844726,0.2920713421902555,0.41543159456347,0.976753,0.183758,0.110396,0.112448,-0.00075,-0.993657,-0.18251,0.982971,-0.021396
7.0,4.267785759847144,0.44250601060406214,0.49431481999936505,0.966201,0.233958,0.10826,0.111604,-0.001061,-0.993752,-0.232381,0.972246,-0.027136
8.0,4.960197245945548,0.629860074869181,0.5717419351114524,0.952602,0.284977,0.106473,0.111448,-0.001249,-0.99377,-0.283069,0.958533,-0.03295
9.0,5.64144257383735,0.8548103593085713,0.6479366238444199,0.93454,0.340131,0.104621,0.111727,-0.001317,-0.993738,-0.337864,0.940377,-0.039233
10.0,6.30748316597926,1.121797351004846,0.7226023245812782,0.910868,0.399821,0.102288,0.112164,-0.00131,-0.993689,-0.397164,0.916592,-0.046039
11.0,6.954688126856217,1.4320707938038104,0.7954410325828136,0.881561,0.461477,0.099444,0.112721,-0.001214,-0.993626,-0.458415,0.887151,-0.053088
12.0,7.5776912064790425,1.7888618383645385,0.8658856008150754,0.843873,0.527947,0.09565,0.113282,-0.001062,-0.993562,-0.524447,0.849276,-0.060703
13.0,8.170387997841088,2.1944773155617643,0.9332231268995097,0.796968,0.597165,0.090747,0.113784,-0.000879,-0.993505,-0.593207,0.802118,-0.068648
14.0,8.724865140228188,2.651451348020469,0.9964708446017126,0.738628,0.668813,0.084369,0.114141,-0.000732,-0.993464,-0.66438,0.74343,-0.07688
15.0,9.23354768508764,3.1594779938292095,1.0546228977317007,0.669589,0.738772,0.076597,0.114354,-0.000644,-0.99344,-0.733876,0.673955,-0.084912
16.0,9.688649266460974,3.716572238369156,1.1067030141050767,0.590149,0.804464,0.067544,0.114483,-0.000574,-0.993425,-0.799135,0.594002,-0.092436
17.0,10.083239289868418,4.3185829405635685,1.1518323322875508,0.501806,0.86308,0.057305,0.114486,-0.000605,-0.993425,-0.85737,0.505068,-0.099114
18.0,10.41121262674221,4.959810489189572,1.1892099194449177,0.405644,0.912863,0.046186,0.114475,-0.000607,-0.993426,-0.906834,0.408265,-0.104746
19.0,10.66713952971533,5.633432523934183,1.2184071682767104,0.30236,0.952564,0.034648,0.114595,-0.00024,-0.993412,-0.94628,0.304339,-0.109232
20.0,10.845572212392957,6.331869045316925,1.2390972115992391,0.191769,0.981176,0.022775,0.114786,0.000624,-0.99339,-0.974704,0.193116,-0.112506
21.0,10.942572394226357,7.046355250511587,1.2512822140958408,0.074989,0.997125,0.010902,0.114966,0.002215,-0.993367,-0.990535,0.075745,-0.11447
22.0,10.952327900459201,7.767365089718908,1.254721174355141,-0.050419,0.998727,-0.001677,0.114961,0.004136,-0.993361,-0.99209,-0.050277,-0.115023
23.0,10.867510556439068,8.483328330509625,1.2485330662595138,-0.186102,0.982404,-0.015747,0.114734,0.005811,-0.993379,-0.975809,-0.186677,-0.113796
24.0,10.681802373070186,9.179655007201182,1.2314912359187349,-0.330449,0.943282,-0.031987,0.114548,0.006442,-0.993397,-0.936847,-0.331931,-0.11018
25.0,10.389698560629895,9.837894802162376,1.2019310418476583,-0.478627,0.876589,-0.050072,0.11476,0.005917,-0.993376,-0.870486,-0.481203,-0.103429
26.0,9.992232394630431,10.437514250831962,1.1591489619621846,-0.621554,0.780354,-0.068685,0.115597,0.004647,-0.993285,-0.774795,-0.62532,-0.093095
27.0,9.496452805573915,10.957389651659158,1.1025165165338513,-0.748378,0.657374,-0.088263,0.118517,0.001604,-0.992951,-0.652598,-0.753563,-0.07911
28.0,8.917534223643537,11.38064657648115,1.031755182973467,-0.850608,0.514603,-0.107934,0.128098,0.003726,-0.991755,-0.509957,-0.857421,-0.069089
29.0,8.275739527983584,11.6971846128536,0.9463685272360458,-0.923046,0.36229,-0.12935,0.152757,0.036593,-0.987586,-0.353059,-0.931347,-0.08912
30.0,7.592592165000823,11.903123926677846,0.8442705161470946,-0.96559,0.209293,-0.154376,0.178779,0.103079,-0.978475,-0.188875,-0.972405,-0.13695
31.0,6.888759809623317,12.0,0.7223274097976453,-0.980755,0.060668,-0.185578,0.19406,0.198442,-0.960709,-0.021458,-0.978233,-0.206396
32.0,6.183141590493866,11.993305356003823,0.5746014817978995,-0.971398,-0.07592,-0.224992,0.190861,0.314069,-0.930018,0.14127,-0.94636,-0.290595
33.0,5.491945213307897,11.892939813144533,0.3955879424251958,-0.9415,-0.198159,-0.272601,0.16333,0.439239,-0.883398,0.29479,-0.876243,-0.381178
34.0,4.828308862790825,11.711314944107876,0.17981735845135668,-0.89528,-0.302814,-0.326768,0.109234,0.561882,-0.819973,0.431905,-0.7698,-0.469964
