"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
48	4.927436e+00	3.103691e+01	-2.989058e+01	4.906315e-02	2.444409e-01	-2.994629e+00	-8.563754e+01	1.328932e+01	-3.183018e-01	3.384140e-01	9.406230e-01	-2.654000e-02
49	4.976499e+00	3.128135e+01	-3.288521e+01	1.468437e-01	5.456144e-01	-2.951552e+00	-7.438587e+01	9.859409e+00	-1.878219e+00	3.517420e-01	9.262230e-01	1.356040e-01
50	5.123343e+00	3.182696e+01	-3.583676e+01	2.569539e-01	8.311482e-01	-2.876443e+00	-6.176279e+01	5.528608e+00	-3.919806e+00	3.831300e-01	8.927490e-01	2.370870e-01
51	5.380297e+00	3.265811e+01	-3.871321e+01	3.940596e-01	1.081930e+00	-2.776014e+00	-4.877440e+01	-3.195295e-01	-7.048138e+00	4.291510e-01	8.388470e-01	3.349100e-01
52	5.774356e+00	3.374004e+01	-4.148922e+01	5.428815e-01	1.288561e+00	-2.660390e+00	-3.630028e+01	-7.161692e+00	-1.087624e+01	4.864420e-01	7.666520e-01	4.190700e-01
53	6.317238e+00	3.502860e+01	-4.414961e+01	7.085911e-01	1.465004e+00	-2.526700e+00	-2.382742e+01	-1.532226e+01	-1.556618e+01	5.504780e-01	6.751130e-01	4.911180e-01
54	7.025829e+00	3.649361e+01	-4.667631e+01	9.010795e-01	1.608573e+00	-2.373284e+00	-1.152742e+01	-2.538478e+01	-2.158208e+01	6.151230e-01	5.613830e-01	5.536000e-01
55	7.926909e+00	3.810218e+01	-4.904959e+01	1.125184e+00	1.709276e+00	-2.200785e+00	-1.542618e-02	-3.774441e+01	-2.932270e+01	6.732500e-01	4.244610e-01	6.054470e-01
56	9.052093e+00	3.981145e+01	-5.125038e+01	1.375674e+00	1.746442e+00	-2.022001e+00	9.007050e+00	-5.220049e+01	-3.895864e+01	7.176560e-01	2.660350e-01	6.435790e-01
57	1.042777e+01	4.155790e+01	-5.327238e+01	1.632908e+00	1.720755e+00	-1.844722e+00	1.500593e+01	-6.775255e+01	-4.991658e+01	7.437240e-01	9.335900e-02	6.619350e-01
58	1.206067e+01	4.327865e+01	-5.511710e+01	1.898103e+00	1.647252e+00	-1.646882e+00	1.951691e+01	-8.475540e+01	-6.228035e+01	7.437360e-01	-9.037800e-02	6.623360e-01
59	1.395878e+01	4.492590e+01	-5.676398e+01	2.158544e+00	1.511445e+00	-1.443829e+00	2.093033e+01	-1.023735e+02	-7.587662e+01	7.099140e-01	-2.808020e-01	6.458890e-01
60	1.611732e+01	4.643735e+01	-5.820781e+01	2.397970e+00	1.307351e+00	-1.252161e+00	1.795103e+01	-1.193991e+02	-9.028437e+01	6.463270e-01	-4.631950e-01	6.063920e-01
61	1.851529e+01	4.774470e+01	-5.945997e+01	2.602662e+00	1.052445e+00	-1.070430e+00	1.147100e+01	-1.349349e+02	-1.047770e+02	5.512130e-01	-6.298380e-01	5.472360e-01
62	2.111795e+01	4.879715e+01	-6.053040e+01	2.765151e+00	7.567703e-01	-8.990441e-01	1.936824e+00	-1.483898e+02	-1.189501e+02	4.319050e-01	-7.698000e-01	4.699640e-01
63	2.388311e+01	4.955392e+01	-6.142945e+01	2.879985e+00	4.181898e-01	-7.458897e-01	-1.127259e+01	-1.591017e+02	-1.327269e+02	2.947900e-01	-8.762430e-01	3.811780e-01
64	2.676309e+01	4.997211e+01	-6.217534e+01	2.940076e+00	2.789435e-02	-6.155247e-01	-2.902472e+01	-1.663269e+02	-1.461752e+02	1.412700e-01	-9.463600e-01	2.905950e-01
65	2.970317e+01	50	-6.279086e+01	2.932635e+00	-4.036503e-01	-5.080963e-01	-5.075036e+01	-1.690506e+02	-1.586214e+02	-2.145800e-02	-9.782330e-01	2.063960e-01
66	3.263580e+01	4.959635e+01	-6.329896e+01	2.846447e+00	-8.580805e-01	-4.254084e-01	-7.541430e+01	-1.662936e+02	-1.691775e+02	-1.888750e-01	-9.724050e-01	1.369500e-01
67	3.548225e+01	4.873827e+01	-6.372437e+01	2.674145e+00	-1.318908e+00	-3.557777e-01	-1.013866e+02	-1.577844e+02	-1.771310e+02	-3.530590e-01	-9.313470e-01	8.912000e-02
68	3.815639e+01	4.741936e+01	-6.408014e+01	2.412161e+00	-1.763571e+00	-2.948389e-01	-1.269909e+02	-1.433216e+02	-1.816746e+02	-5.099570e-01	-8.574210e-01	6.908900e-02
69	4.056855e+01	4.565579e+01	-6.437498e+01	2.065748e+00	-2.166148e+00	-2.359685e-01	-1.502190e+02	-1.234096e+02	-1.821908e+02	-6.525980e-01	-7.535630e-01	7.911000e-02
70	4.263430e+01	4.348964e+01	-6.461095e+01	1.656109e+00	-2.498414e+00	-1.782587e-01	-1.691773e+02	-9.940285e+01	-1.785417e+02	-7.747950e-01	-6.253200e-01	9.309500e-02
71	4.429041e+01	4.099123e+01	-6.478921e+01	1.217099e+00	-2.742666e+00	-1.231675e-01	-1.827439e+02	-7.339976e+01	-1.713642e+02	-8.704860e-01	-4.812030e-01	1.034290e-01
72	4.550751e+01	3.824856e+01	-6.491238e+01	7.737841e-01	-2.901361e+00	-7.100763e-02	-1.910502e+02	-4.699678e+01	-1.616299e+02	-9.368470e-01	-3.319310e-01	1.101800e-01
73	4.628129e+01	3.534720e+01	-6.498338e+01	3.534056e-01	-2.983180e+00	-2.578378e-02	-1.947685e+02	-2.177219e+01	-1.505573e+02	-9.758090e-01	-1.866770e-01	1.137960e-01
74	4.663470e+01	3.236402e+01	-6.500917e+01	-4.064794e-02	-3.004208e+00	1.432900e-02	-1.948373e+02	1.974260e+00	-1.387848e+02	-9.920900e-01	-5.027700e-02	1.150230e-01
75	4.659405e+01	2.935981e+01	-6.499484e+01	-4.041674e-01	-2.977026e+00	5.077084e-02	-1.920007e+02	2.390318e+01	-1.268454e+02	-9.905350e-01	7.574500e-02	1.144700e-01
76	4.618988e+01	2.638279e+01	-6.494407e+01	-7.434695e-01	-2.910152e+00	8.620851e-02	-1.867227e+02	4.430197e+01	-1.148048e+02	-9.747040e-01	1.931160e-01	1.125060e-01
77	4.544641e+01	2.347264e+01	-6.485786e+01	-1.066362e+00	-2.806758e+00	1.216552e-01	-1.791848e+02	6.363317e+01	-1.025268e+02	-9.462800e-01	3.043390e-01	1.092320e-01
78	4.438005e+01	2.066588e+01	-6.473621e+01	-1.366556e+00	-2.671781e+00	1.557399e-01	-1.697425e+02	8.155387e+01	-9.033273e+01	-9.068340e-01	4.082650e-01	1.047460e-01
79	4.301350e+01	1.799410e+01	-6.458047e+01	-1.644125e+00	-2.508378e+00	1.880388e-01	-1.586086e+02	9.809016e+01	-7.830956e+01	-8.573700e-01	5.050680e-01	9.911400e-02
80	4.136937e+01	1.548572e+01	-6.439243e+01	-1.896257e+00	-2.321226e+00	2.170005e-01	-1.461090e+02	1.131274e+02	-6.666277e+01	-7.991350e-01	5.940020e-01	9.243600e-02
81	3.947312e+01	1.316449e+01	-6.417543e+01	-2.119511e+00	-2.116778e+00	2.423002e-01	-1.326554e+02	1.264562e+02	-5.565353e+01	-7.338760e-01	6.739550e-01	8.491200e-02
82	3.735360e+01	1.104771e+01	-6.393313e+01	-2.310321e+00	-1.904058e+00	2.635322e-01	-1.188210e+02	1.378622e+02	-4.559968e+01	-6.643800e-01	7.434300e-01	7.688000e-02
83	3.504328e+01	9.143655e+00	-6.366959e+01	-2.469570e+00	-1.690064e+00	2.805730e-01	-1.050403e+02	1.474043e+02	-3.664451e+01	-5.932070e-01	8.021180e-01	6.864800e-02
84	3.257371e+01	7.453591e+00	-6.338902e+01	-2.595846e+00	-1.486629e+00	2.935190e-01	-9.204821e+01	1.549871e+02	-2.907666e+01	-5.244470e-01	8.492760e-01	6.070300e-02
85	2.997787e+01	5.966962e+00	-6.309550e+01	-2.696687e+00	-1.292806e+00	3.034946e-01	-7.975930e+01	1.610507e+02	-2.266454e+01	-4.584150e-01	8.871510e-01	5.308800e-02
86	2.728118e+01	4.674156e+00	-6.279201e+01	-2.775169e+00	-1.112446e+00	3.111071e-01	-6.839854e+01	1.657711e+02	-1.737726e+01	-3.971640e-01	9.165920e-01	4.603900e-02
87	2.450601e+01	3.561710e+00	-6.248090e+01	-2.838522e+00	-9.372929e-01	3.174779e-01	-5.743214e+01	1.695733e+02	-1.285932e+01	-3.378640e-01	9.403770e-01	3.923300e-02
88	2.166749e+01	2.624417e+00	-6.216342e+01	-2.885048e+00	-7.806419e-01	3.226130e-01	-4.768070e+01	1.723542e+02	-9.342982e+00	-2.830690e-01	9.585330e-01	3.295000e-02
89	1.878244e+01	1.843775e+00	-6.184081e+01	-2.921670e+00	-6.268111e-01	3.286801e-01	-3.815649e+01	1.745050e+02	-6.386140e+00	-2.323810e-01	9.722460e-01	2.713600e-02
90	1.586077e+01	1.216964e+00	-6.151213e+01	-2.948353e+00	-4.820900e-01	3.350208e-01	-2.924667e+01	1.760458e+02	-4.058280e+00	-1.825100e-01	9.829710e-01	2.139600e-02
91	1.291242e+01	7.348739e-01	-6.117711e+01	-2.966557e+00	-3.477203e-01	3.410008e-01	-2.102193e+01	1.770822e+02	-2.309864e+00	-1.366600e-01	9.904870e-01	1.607800e-02
92	9.945861e+00	3.871536e-01	-6.083611e+01	-2.977675e+00	-2.266183e-01	3.465418e-01	-1.365241e+01	1.777035e+02	-1.101096e+00	-9.391800e-02	9.955180e-01	1.108400e-02
93	6.968185e+00	1.605353e-01	-6.048957e+01	-2.983222e+00	-1.222505e-01	3.517881e-01	-7.338405e+00	1.780025e+02	-3.729515e-01	-5.677200e-02	9.983650e-01	6.713000e-03
94	3.984963e+00	3.828483e-02	-6.013778e+01	-2.983222e+00	-1.222505e-01	3.517881e-01	-7.338405e+00	1.780025e+02	-3.729515e-01	-2.523600e-02	9.996770e-01	2.984000e-03
